country,country_code,region,gdp_per_capita_usd
Afghanistan,AFG,,413.757894705303
Albania,ALB,,9730.86921906893
Algeria,DZA,,5370.477235078
American Samoa,ASM,,
Andorra,AND,,46812.4261013102
Angola,AGO,,2916.13663284275
Antigua and Barbuda,ATG,,21494.5474000727
Argentina,ARG,,14261.8465667948
Armenia,ARM,,8159.08720967996
Aruba,ABW,,35718.7531191634
Australia,AUS,,65058.3773146674
Austria,AUT,,56579.504175468
Azerbaijan,AZE,,7133.02838048328
"Bahamas, The",BHS,,38231.774484278
Bahrain,BHR,,29290.1284215098
Bangladesh,BGD,,2551.01773827307
Barbados,BRB,,25583.878782727
Belarus,BLR,,7896.75388295584
Belgium,BEL,,55291.4754541329
Belize,BLZ,,7424.75821321022
Benin,BEN,,1394.17784721831
Bermuda,BMU,,132604.439086216
Bhutan,BTN,,3831.32535494609
Bolivia,BOL,,4274.70820547613
Bosnia and Herzegovina,BIH,,8663.02326458629
Botswana,BWA,,7826.35376483298
Brazil,BRA,,10377.5897719195
British Virgin Islands,VGB,,
Brunei Darussalam,BRN,,32890.5491812019
Bulgaria,BGR,,15853.208636704
Burkina Faso,BFA,,873.482589651003
Burundi,BDI,,250.627253097255
Cabo Verde,CPV,,4794.90121917259
Cambodia,KHM,,2429.74853452838
Cameroon,CMR,,1720.47510154506
Canada,CAN,,54220.3285039875
Cayman Islands,CYM,,99143.5180243123
Central African Republic,CAF,,495.978897288721
Chad,TCD,,949.333453674592
Channel Islands,CHI,,74585.5224096294
Chile,CHL,,17067.0364799154
China,CHN,,12951.1782397043
Colombia,COL,,7000.83660501046
Comoros,COM,,1560.27378476855
"Congo, Dem. Rep.",COD,,660.21205238997
"Congo, Rep.",COG,,2477.97845544866
Costa Rica,CRI,,16942.0268119375
Cote d'Ivoire,CIV,,2591.9659048119
Croatia,HRV,,22184.2279304842
Cuba,CUB,,
Curacao,CUW,,21217.8110321785
Cyprus,CYP,,36623.69140625
Czechia,CZE,,31761.5944102491
Denmark,DNK,,68043.5466971243
Djibouti,DJI,,3381.29779710722
Dominica,DMA,,9912.96212766668
Dominican Republic,DOM,,10630.431743829
Ecuador,ECU,,6737.84748379638
"Egypt, Arab Rep.",EGY,,3456.78968456253
El Salvador,SLV,,5365.44491399171
Equatorial Guinea,GNQ,,6677.793435386
Eritrea,ERI,,
Estonia,EST,,30264.0064885057
Eswatini,SWZ,,3755.52111232464
Ethiopia,ETH,,1055.81091592527
Faroe Islands,FRO,,72465.3769660215
Fiji,FJI,,5926.20586394763
Finland,FIN,,52834.2916752703
France,FRA,,44700.1384177544
French Polynesia,PYF,,21832.2831795569
Gabon,GAB,,7802.82433276138
"Gambia, The",GMB,,883.024111719809
Georgia,GEO,,8283.66960652261
Germany,DEU,,54776.7668235491
Ghana,GHA,,2383.90410483418
Gibraltar,GIB,,
Greece,GRC,,23343.7103964562
Greenland,GRL,,58498.9707973609
Grenada,GRD,,11414.4781691181
Guam,GUM,,
Guatemala,GTM,,5758.32760847852
Guinea,GIN,,1555.49375806861
Guinea-Bissau,GNB,,988.087886357022
Guyana,GUY,,20473.7002190617
Haiti,HTI,,1705.75808460999
Honduras,HND,,3227.45762509776
"Hong Kong SAR, China",HKG,,50562.3633144379
Hungary,HUN,,22230.6277875187
Iceland,ISL,,82138.7892973557
India,IND,,2530.12031278204
Indonesia,IDN,,4876.30774512252
"Iran, Islamic Rep.",IRN,,5049.29931642754
Iraq,IRQ,,5965.31835077761
Ireland,IRL,,106818.917130804
Isle of Man,IMN,,
Israel,ISR,,52003.7200729997
Italy,ITA,,39277.0838783918
Jamaica,JAM,,7542.40084275345
Japan,JPN,,33836.1756271617
Jordan,JOR,,4466.08314208575
Kazakhstan,KAZ,,12879.4275257974
Kenya,KEN,,1942.58802756191
Kiribati,KIR,,2177.70125812262
"Korea, Dem. People's Rep.",PRK,,
"Korea, Rep.",KOR,,35674.095995632
Kosovo,XKX,,6221.20618847799
Kuwait,KWT,,34075.849012909
Kyrgyz Republic,KGZ,,2138.22210211478
Lao PDR,LAO,,2066.94979776957
Latvia,LVA,,22710.2637544197
Lebanon,LBN,,3477.72489842684
Lesotho,LSO,,916.282976983803
Liberia,LBR,,799.194470229642
Libya,LBY,,6026.51518708812
Liechtenstein,LIE,,206780.590353385
Lithuania,LTU,,27786.0057829276
Luxembourg,LUX,,133230.619178899
"Macao SAR, China",MAC,,67216.3631112124
Madagascar,MDG,,508.718427705591
Malawi,MWI,,633.214767978695
Malaysia,MYS,,11386.0395636528
Maldives,MDV,,12587.6126038651
Mali,MLI,,1043.9533853528
Malta,MLT,,40905.8059585057
Marshall Islands,MHL,,6793.24495895856
Mauritania,MRT,,2135.78187606359
Mauritius,MUS,,11269.9684462139
Mexico,MEX,,13860.9597809326
"Micronesia, Fed. Sts.",FSM,,3919.64307910859
Moldova,MDA,,6799.58594644576
Monaco,MCO,,256799.788612806
Mongolia,MNG,,5838.63108083902
Montenegro,MNE,,12259.8775034436
Morocco,MAR,,3813.72607421875
Mozambique,MOZ,,622.000297682823
Myanmar,MMR,,1233.19666209269
Namibia,NAM,,4187.60500396525
Nauru,NRU,,12752.4723855838
Nepal,NPL,,1382.33055769304
Netherlands,NLD,,63515.6030780019
New Caledonia,NCL,,33701.8923322781
New Zealand,NZL,,49075.9562832927
Nicaragua,NIC,,2609.44492072931
Niger,NER,,638.336080897887
Nigeria,NGA,,2138.76383719983
North Macedonia,MKD,,8674.35846327485
Northern Mariana Islands,MNP,,
Norway,NOR,,87497.2179649556
Oman,OMN,,21027.7384778886
Pakistan,PAK,,1360.32417758419
Palau,PLW,,15610.8231931032
Panama,PAN,,18797.1933994045
Papua New Guinea,PNG,,2966.06830432055
Paraguay,PRY,,6299.99026533713
Peru,PER,,7887.54185920108
Philippines,PHL,,3804.08274131097
Poland,POL,,22145.2660647429
Portugal,PRT,,27634.6183139773
Puerto Rico (US),PRI,,36980.7884784287
Qatar,QAT,,81816.9797967481
Romania,ROU,,18244.4186876321
Russian Federation,RUS,,14159.3876953125
Rwanda,RWA,,1027.03446826565
Samoa,WSM,,4822.74084650019
San Marino,SMR,,59879.7173015651
Sao Tome and Principe,STP,,2990.6606143535
Saudi Arabia,SAU,,36156.848337701
Senegal,SEN,,1698.03387300843
Serbia,SRB,,12281.707946167
Seychelles,SYC,,18262.7115849287
Sierra Leone,SLE,,758.329137378248
Singapore,SGP,,85412.230345235
Sint Maarten (Dutch part),SXM,,39451.8223361963
Slovak Republic,SVK,,24614.8734642794
Slovenia,SVN,,32660.4753581346
Solomon Islands,SLB,,1882.64394148042
"Somalia, Fed. Rep.",SOM,,596.885985135589
South Africa,ZAF,,6034.27208964673
South Sudan,SSD,,
Spain,ESP,,33493.2225409111
Sri Lanka,LKA,,3798.89016573011
St. Kitts and Nevis,KNA,,22576.9248439166
St. Lucia,LCA,,13554.7684784933
St. Martin (French part),MAF,,
St. Vincent and the Grenadines,VCT,,10582.3656725229
Sudan,SDN,,797.283447265625
Suriname,SUR,,5521.97602122638
Sweden,SWE,,54950.2834725622
Switzerland,CHE,,100623.549627296
Syrian Arab Republic,SYR,,
Tajikistan,TJK,,1178.47990060249
Tanzania,TZA,,1224.00219726563
Thailand,THA,,7195.10130919449
Timor-Leste,TLS,,1502.41147438211
Togo,TGO,,1055.01727877926
Tonga,TON,,5651.59373063157
Trinidad and Tobago,TTO,,18308.4536298575
Tunisia,TUN,,3951.11683376921
Turkiye,TUR,,13375.0947282864
Turkmenistan,TKM,,6231.91323839698
Turks and Caicos Islands,TCA,,35470.2151608295
Tuvalu,TUV,,6344.7750188689
Uganda,UGA,,1002.30913917142
Ukraine,UKR,,5139.59814453125
United Arab Emirates,ARE,,49850.6872175164
United Kingdom,GBR,,49944.4702124201
United States,USA,,81032.262117545
Uruguay,URY,,23019.4221560046
Uzbekistan,UZB,,2878.96879292451
Vanuatu,VUT,,3482.61458237637
"Venezuela, RB",VEN,,3617.43594578269
Viet Nam,VNM,,4323.35031982451
Virgin Islands (U.S.),VIR,,
West Bank and Gaza,PSE,,3455.02852911712
"Yemen, Rep.",YEM,,
Zambia,ZMB,,1330.72780576709
Zimbabwe,ZWE,,2195.22492079245
